//gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,time
0.003864,-0.001672,0.005083,-0.026117,0.035418,1.019305,39487.488408
0.002799,-0.001672,0.004018,-0.004511,0.049243,0.997790,39487.493399
0.001733,0.000459,-0.000243,-0.012476,0.010424,0.991656,39487.498410
0.001733,0.000459,0.002953,-0.031427,-0.037549,0.991748,39487.503392
0.002799,0.003654,-0.005569,-0.051386,-0.038556,0.992572,39487.508411
-0.003593,-0.004868,0.002953,-0.030969,0.015826,0.999347,39487.513396
-0.000397,-0.000607,0.007214,0.003088,0.050158,0.996142,39487.518409
0.002799,-0.002737,-0.000243,-0.000940,0.027911,0.999621,39487.523397
-0.000397,0.000459,0.000822,-0.036737,-0.023908,0.979114,39487.528413
-0.002528,-0.000607,-0.003439,-0.052667,-0.041028,0.976550,39487.533393
-0.004658,0.000459,-0.000243,-0.036737,0.002642,1.000445,39487.538409
0.001733,0.000459,0.002953,-0.003320,0.050067,1.022143,39487.543394
0.001733,-0.001672,0.000822,-0.002405,0.046405,1.008136,39487.548412
-0.003593,0.000459,0.006149,-0.030969,-0.007062,0.977374,39487.553401
0.002799,0.002589,-0.001308,-0.047083,-0.051648,0.978381,39487.558408
0.000668,0.002589,-0.004504,-0.037653,-0.018415,1.009418,39487.563394
-0.001462,-0.000607,-0.003439,-0.015039,0.037158,1.008960,39487.568383
0.002799,-0.001672,0.005083,-0.003320,0.044024,0.990558,39487.573419
0.000668,-0.002737,0.008279,-0.018610,0.003466,0.974353,39487.578383
0.001733,0.003654,0.001888,-0.038934,-0.042127,0.987170,39487.583423
-0.003593,0.000459,-0.001308,-0.044061,-0.027295,1.005939,39487.588387
-0.001462,-0.001672,-0.008765,-0.032068,0.019305,1.006030,39487.593423
0.000668,-0.001672,0.001888,-0.005518,0.054187,0.998431,39487.598385
-0.001462,-0.001672,0.007214,-0.005884,0.026080,0.996783,39487.603423
-0.000397,0.005785,0.001888,-0.032434,-0.029493,0.991656,39487.608386
0.005994,-0.000607,-0.003439,-0.053949,-0.041394,0.995318,39487.613419
0.000668,-0.002737,-0.004504,-0.035181,0.003558,0.994220,39487.618382
0.001733,0.000459,0.000822,-0.002039,0.052630,1.011615,39487.623426
0.002799,0.000459,0.001888,-0.000757,0.043475,1.004657,39487.628384
-0.000397,-0.000607,0.004018,-0.035913,-0.018964,0.977923,39487.633425
-0.000397,-0.001672,0.000822,-0.049646,-0.046247,0.966113,39487.638385
0.004929,0.003654,-0.006634,-0.037653,-0.008619,1.000628,39487.643434
-0.007854,-0.000607,-0.000243,-0.013117,0.041186,1.021960,39487.648380
-0.001462,0.000459,-0.000243,-0.003687,0.043841,1.007312,39487.653424
-0.001462,-0.001672,0.001888,-0.028589,-0.003034,0.984515,39487.658381
-0.001462,0.001524,0.005083,-0.038294,-0.041761,0.976458,39487.663420
-0.000397,0.004720,-0.004504,-0.039667,-0.019513,1.006763,39487.667428
-0.000397,0.004720,-0.004504,-0.023737,0.033496,1.009143,39487.672385
-0.002528,0.000459,-0.005569,-0.023737,0.033496,1.009143,39487.673436
0.003864,-0.002737,-0.001308,-0.004328,0.050525,0.987811,39487.677417
0.000668,-0.002737,0.007214,-0.011560,0.018298,0.985888,39487.682395
0.002799,-0.002737,0.002953,-0.036279,-0.033429,0.987536,39487.687428
0.001733,-0.000607,0.004018,-0.053217,-0.036634,0.996875,39487.692393
-0.003593,0.000459,-0.011961,-0.037744,0.013629,0.999255,39487.697400
-0.002528,-0.001672,-0.001308,-0.005243,0.050341,0.996051,39487.702414
